,company,task,info
10,삼정케이피엠지컨설팅(주),IT Auditor 채용  IRM,"

 외부감사 중 IT Specialist로써 IT 감사 업무 수행 (회사의 IT 일반통제 및 응용통제 설계 및 운영 평가, Data분석)
 내부회계관리제도 구축 및 평가 용역의 IT분야 (일반통제 및 응용통제 구축, 설계 및 운영 테스트)

 경력 2년 이상 ~ 10년 미만
 경영전략 컨설팅(지속가능경영/ESG경영 등) 이해와 관심
 논리적 사고, 자료 서치 및 분석 능력
 영어 커뮤니케이션(Speaking & writing) 가능자
 MS 파워포인트(PPT), 엑셀(Excel) 능통자

 관계법에 의거 보훈대상자 또는 장애인은 우대함

"
11,(주)지텐션,IT,"

 플랫폼, IT관련 개발 관련 전략을 수립하고,
시스템 유지보수 및 보안 업무

 해외여행에 결격사유가 없어야 합니다.



"
12,잡플래닛 매칭서비스,IT 글로벌 대기업  Finance (회계),"IT글로벌 대기업

회계결산 마감을 수행하여 재무 정보 이용자를 위한 경영정보를 제공합니다.
Tax와 사업에 관한 이슈를 검토하여 회사의 Risk를 관리하고 손익에 기여를 합니다.
글로벌 법인의 재무회계 정책을 조율하고, 현지의 회계업무 수행을 지원합니다.

담당업무
국제회계기준(IFRS)에 따른 재무회계 결산
정기 / 비정기적으로 발생하는 세무 신고 및 회계 관련 이슈 검토
글로벌 법인의 회계 관련 업무 지원

자격요건
3년 이상의 회계/재무 관련 업무 경력을 보유하신 분
데이터/수치화된 자료를 기반으로 회계자료를 작성하고 분석하는 능력이 뛰어나신 분
논리적인 사고와 유연한 커뮤니케이션이 가능하신 분

우대사항
IT서비스 또는 동종업계 업무 경력을 보유하신 분
회계 관련 자격증을 보유하신 분
외국어로 업무 진행이 가능하신 분 (영어, 일본어)

"
13,(유)일루미나리안,금융팀 IT Compliance 내부통제 담당자,"안녕하세요,
착한회사 + 좋은회사가 되고 싶은 일루미나리안 입니다.
혹시라도 저희 회사에 왜 지원하고 싶으신가요?
아니면 단순히 채용 검색으로 찾아 오시게 되었나요? 다 좋습니다.
다만 저희 회사에 지원하고 싶다면, 아래 글을 차근차근 읽어주세요.
긴 글이어서 부담되신다고요? 그래도 저희 회사에 지원을 하고자 하신다면, 읽어주시길 부탁드려요.
다 읽고나서, 마음 한 켠이 뜨거워지거나 삶의 커리어 중 꼭 한번은 이런 회사와 함께 하고 싶은 마음이 든다면, 꼭! 지원해주세요. 저희는 그런 분을 찾고 있습니다.

그러면 저희들의 이야기를 시작해 볼께요.
저희 회사는 실리콘 밸리와 호주, 네덜란드, 싱가포르 등지에서 개발자로 20년 넘게 일해오신 소장님이 한국에 좋은 회사를 만들고 싶은 진심으로 설립한 회사입니다. 진심 하나로 시작했기에 시행착오도 있지만 저희는 천천히 꾸준히 좋은 회사를 만들어 가고 있습니다.

그리고 좋은 회사에는 좋은 인재가 필요합니다.
좋은 회사란 어떤 회사일까요?
워라밸이 좋은 회사? 연봉이 높은 회사? 꼰대가 없는 회사? 수평적인 회사?
저희는 좋은 동료들이 함께 하는 회사라고 생각합니다.

가슴에 뜨거운 열정을 갖고 스마트한 동료들과 서로 존중하며 책임감과 자부심을 갖고 일하는 자신의 모습을 상상해 보세요. 멋지고 뿌듯한 마음이 들지 않나요? 저희는 그런 회사를 함께 만들어갈 분을 찾고 있습니다. 결과도 중요하지만 결과를 이루어내는 과정속의 진심을 인정해주는 따뜻함을 가진 동료들이 있습니다. 바른 인성과 오픈마인드, 성장 가능성이라는 세 가지 능력을 모두 가진 분이 아니라면 이 채용 공고를 더 읽지 않으셔도 좋습니다. 분명 저희보다 더 잘 어울리는 회사기 있으실거에요.

회사는 우리가 대부분의 시간을 할애하는 곳입니다.
직장은 단순히 돈을 벌기 위해서 다니기도 하지만, 조금 더 좋은 마음을 품고 몸 담을 수 있다면 어떨까요? 저희는 그런 마음으로 다닐 수 있는 회사를 함께 만들어 가실 분을 모시고 싶습니다.

저희가 자랑할 수 있는 복지는 주 4일 근무 제도입니다. 더 많은 복지는, 저희 회사에 어떤 분이 오시냐에 달려있습니다. 책임감을 갖고 성실히 일해주신다면, 현재 저희 팀원들과 함께 힘을 모아 프로젝트를 더크게 성공시키고 더 많은 복지혜택을 누릴 수 있을 것입니다. 그만큼 좋은 팀원 한 분이 저희에게는 절실합니다.

그럼 잠시 저희 회사의 서비스를 소개해 드릴께요.
저희는 현재 글로벌 서비스를 대상으로 하는 크라우드펀딩 플랫폼을 만들고 있습니다.

스타트업이며, 미국 법인에서 전액 출자한 자회사입니다.
현재 진행 중인 프로젝트는 다음과 같습니다.
첫 번째, 프로젝트는 현재 일본 자회사와 협업하여 진행 중입니다.

1. 미국&일본 서비스를 대상으로 하는 재생에너지 크라우드펀딩 플랫폼(진행중, 2021년 상반기 오픈 예정)
2. 글로벌 서비스를 대상으로 하는 엔터테인먼트 크라우드펀딩 플랫폼(현재 사업기획 초기단계)

 하단 컬럼은 반드시 읽어보시고 느낀 점에 대해 지원서에 함께 제출해 주시길 요청드립니다.
=https://brunch.co.kr/@supims/362

[다음에 해당되는 분은 저희와 잘 맞을 확률이 높습니다]
 새로운 일에 도전하는 데 열린 마음을 가진 분
 용기내어 모른다고 말할 수 있는 분
 반대로, 모른다고 말하는 사람을 기꺼이 도와줄 수 있는 분
 책임감을 갖고 성실히 일하는 데에 자신 있으신 분
 회사 뒷담화를 하느니 그 시간에 내가 좋아하는 취미생활을 하는게 맘 편하신 분
 회사생활에서 인간관계에만 집중을 하시는 것보다 그냥 조용히 일하는 게 더 좋은 분
 경영자가 가수가 될 수 있다고 생각하시는 분
 발레리나가 개발자가 될 수 있다고 생각하시는 분
 일이 곧 나라고 생각하지 않으시는 분 (본캐와 부캐가 확실하신 분)
 내가 한 일에 대해 개선사항을 지적받을 때 마음은 조금 아파도 금방 수용할 수 있는 분
 누가 알려주지 않아도 스스로 일을 꾸려갈 수 있는 분
 내가 가진 능력이 어디에든 쓰이고 도움이 된다면 기쁜 분
 스펀지 같은 습득력과 주위를 태워버릴 것 같은 열정있는 분

[저희는 이런 내부통제 담당자분과 함께하고 싶습니다]
 유관 업무 경험이 있고, 서비스 기획 초기부터 함께 고민할 수 있는 분
 회사의 운영방침과 목표를 공감하고 팀원들을 리드하여 함께 보폭을 맞춰 걸어갈 수 있는 분
 프로젝트의 방향과 개선점이 변경 되더라도 열린 마음으로 수용 할 수 있는 분
 회사의 비즈니스 모델과 성장을 함께 고민 할 수 있는 분
 꼰대 마인드가 없으신 분

긴 글을 읽어주신 지원자님께 진심으로 감사 드립니다.

글로벌 프로젝트의 크라우드 펀딩을 기반으로 새로운 금융 플랫폼 서비스 개발중입니다.
 온라인소액투자중개업 라이선스 취득을 위한 업무
 금융기관의 지침대로 사내 내부통제 업무
 내부통제 절차 준수 점검 및 보고
 전자금융업 관련 Compliance 대응
 외부감사인의 전산감사 대응
 고객에게 안전한 전자금융서비스를 제공하기 위한 내부통제 업무

아래의 요건 중 하나를 충족하는 경우 지원이 가능합니다.

 공인회계사, 변호사 등 해당 업무에 대한 전문성을 인정할 수 있는 자격 소지자(5년 이상의 경력)
 금융기관 근무 5년이상 : 내부통제업무를 5년 이상의 경력이 있어야 요건 충족
 전문교육과정(대학원 등)을 이수하고 내부통제업무 2년 이상 경력자
 그 밖에 해당 업무에 대한 전문성이 상기 인력에 준한다고 볼 수 있는 상당한 근거가 있는 자
 유의사항: 국내 자격증이 없거나 금융기관에서 내부통제 업무를 한 경력이 없는 경우 감독기관에서 금융기관 경력, 업무내용 등을 검토 후 충분하지 않다고 판단할 가능성이 있음

[일루미나리안 멤버 공통자격]
 나이, 성별, 외모, 교육, 종교, 정치, 역할등에 관계없이 서로를 존중하고 차별하지 않는 분
 개인의 개성을 존중하시는 분
 회사와 팀에 도움이 된다면 솔직하게 자기 생각을 표현 하실 수 있는 분
 알고 있는 정보와 지식을 팀원들과 나누고 새로운 것을 받아드리는 겸손한 자세가 있는 분
 다음 단계의 서비스를 만들기위해 필요한 정보를 찾아내려는 열정이 있는 분
 사용자가 원하는 요구사항을 끊임없이 탐구하고 찾는 분
 팀간의 업무 조율과 커뮤니케이션에 능통한 분
 회사와 함께 성장하고 싶은 분

 금융기관에서 요구하는 사내 준법감시인의 요건에 합당한 분
 금융권 컴플라이언스 및 내부통제 업무 전반에 대한 경험있는 분
 온라인소액투자중개업 라이선스 취득 업무 경험있는 분
 회계관련 자격증 (국내 CPA만 인정)보유한 분
 회사의 방향성을 잘 따르며, 팀원들과 화합해서 같이 오래 일 할 수 있는 분
 영어 커뮤니케이션 가능한 분

 임직원 단체보험 가입하고 있습니다.
 생일 상품권 드리고 있습니다.
 카페테리아(커피, 차, 음료) 이용 가능합니다.
 업무관련 도서 및 교육지원
 경조사(직계가족 및 본인 결혼한함) 2주 유급휴가 추가 제공
 그 외 더 많은 복지를 제공해드리기 위해서 연구하고 준비하고 있습니다."
14,지에스건설(주),IT지원(해외),"

 IT지원(해외)

1. 신체건강하고 건설현장근무에 문제가 없는 자
2. 병역필 또는 병역 면제자로서 해외여행에 결격사유가 없는자

 관련전공 이수 및 자격보유자 우대

"
15,안진회계법인,경영지원본부 IT Security Management Team Leader,"

 IT Governance Risk & Compliance Management
 IT 보안 정책 유지 관리
 Global Security Standard 관리
 보안성 검토
 Security Project Delivery & Deployment
 Global/Local Security 관련 프로젝트 관리
 Security Operation
 보안 취약점 관리
 보안 운영 관리
 보안 관리 성과 지표 관리
 보안 Incident 대응
 IT 보안팀 관리 운영 (People Management)

해당 경력 10년 이상 15년 이하
 Team management 경력
 Fluent in written and verbal English
 IT 정보보안 전략 분석, 수립 유경험자
 글로벌 프로젝트, 커뮤니케이션 유 경험자
 개발/해킹/보안 취약점 이해 보유 및 운영 유경험
 서버/네트워크/DBMS 등 기본 IT인프라 환경에 대한 지식 보유자
 커뮤니케이션이 원활하고 창의적인 사고와 오픈 마인드의 소유자

 국내/외 보안 자격 보유자 (CISSP, CISA, CISM, CEH, ISO27001, KISA 등)

"
16,엘지디스플레이(주),IT 사업부  개발/측정 전담,"

 IT사업부 개발 전담직 주요 업무
 개발 Run 대응(자재 이동/반출/출하), 물류 대응 및 관련 업무 전산 작업 진행
 측정 업무 : 광학 측정, 기구 치수 측정, Data 이력 관리
 자재 관리 : 부품(Fring, CG) 통관/세관 업무 및 전산 처리, 물류 대응 및 자재 이동

 계약기간 : 1년
 전문학사 이상
 즉시 입사 가능자

 꼼꼼하고 세밀한 업무 처리 역량
 간단한 MS Office Excel 활용 역량

"
17,잡플래닛 매칭서비스,"매출액 3,000억 IT중견기업  중견기업, IT기술영업 경력자","매출액 3,000억 IT중견기업

[IT Solution 영업]
 IT솔루션영업, IT기기영업
 직접영업 또는 채널영업
 기업영업, 공공영업


 IT영업 경력 1년이상
 SW,솔루션영업,IT기기영업 각 부문
 기업영업, 공공영업,채널영업 각 부문


 SI영업,공공영업 경력자 우대
 가상화기기 영업 경력자 우대



"
18,삼정케이피엠지컨설팅(주),IT Auditor  IRM,"

외부감사 중 IT Specialist로써 IT 감사 업무 수행
(회사의 IT 일반통제 및 응용통제 설계 및 운영 평가, Data분석)
내부회계관리제도 구축 및 평가 용역의 IT분야
(일반통제 및 응용통제 구축, 설계 및 운영 테스트)

 내부회계관리제도 구축 및 평가 업무 수행 유경험자

 전산시스템 관련 업무 경험자(SAP 및 Oracle 분야 우대)
 공인회계사(한국&미국), CISA, CISSP, CIA 등 정보보호 관련 자격증 우대

"
19,(주)에쓰씨케이,[잡플래닛 매칭] Cloud IT Consultant (Dropbox),"SCK(주식회사 에쓰씨케이)는 1991년 일본 SoftBank Corp.가 대주주로 설립한 IT 유통 전문회사 SoftBank Korea에서 출발하였으며, 이후 SoftBank Commerce Korea와 SBCK 시절을 거쳐 현재에 이르렀습니다.
SCK는 No.1 Cloud Distributor로, 다양한 형태의 클라우드 비즈니스를 지원하는 솔루션과 컨설팅을 제공하며 Microsoft, Adobe, Autodesk, AhnLab, Dropbox등 국내/외 유수의 소프트웨어 제조사와의 계약을 통하여 다양한 솔루션을 공급합니다. SCK는 3,000개 이상의 Reseller와 100만명 이상의 Subscriber를 보유하고 있습니다.

설립: 1991년 (업력 30년차)
사원수: 150명 (2018)
매출액: 2,062 억원 (2018)
대표자: 이승근
홈페이지: https://www.sckcorp.co.kr/
기업형태: 중견기업 (비상장)
주소: 서울 강남구 학동로 31길 12 (논현동, 벤처캐슬 4,5층)

 Cloud IT Consultant로서 기업 고객의 Cloud Migration에 대한 PreSales 및 컨설팅

관련 경력 2년 이상

 클라우드 전환에 대한 Infra/ Platform/ Solution / Application/ Data 등에 대한 이해가 있고 컨설팅이 가능한 분
 S/W 또는 H/W 영업 경험이 있는 분
 비즈니스 영어 가능자

재택 근무제, 유연 근무제, 공유좌석제(예정)
우수사원 축하 및 포상제도, 핵심가치 People 축하 및 포상제도, 장기근속 포상제도 (해외여행 지원)
동료 추천 포상 제도, SCK Benefit Program (운동, 취미, 교육도 내가 원하는 것 지원)
매년 종합건강검진 지원, 단체 상해보험 가입, 외부 전문가와의 1:1 상담 지원 (금융, 법률, 정신건강 등)
사내 라운지 및 피트니스 공간 제공
Family Day 운영, 출산 용품 및 자녀 양육비 지원
리프레쉬 휴가, 육아휴직, 경조사 지원, 명절 상품권 지급, 회사 콘도 이용
업무용 차량 및 주차 지원, 개인 노트북 제공, 통신비/교통비 지원, 근로자의 날 상품권 지급"
20,하나손해보험(주),자회사(GA)  IT,"

 IT개발 및 운영

 관련업무 경력 3 ~ 10년

 GA 근무경력자 우대
 시스템 구축 프로젝트 수행 경험

"
