company,task,info
온더아이티(주),솔루션영업|,"주요업무
- IT 기술영업
자격요건
- 학력 : 초대졸 이상
- 경력 : 3년 이상
우대사항
- IT솔루션 (KMS, EP, BPM, G/W, EDMS등)영업 유경험자
- 공공기관 영업 유경험자
채용절차
- 지원서접수 > 서류전형 > 실무진면접 > 임원면접 > 최종합격
기타
- 입사지원서 : 사진필착(당사 홈페이지에서 다운로드)
- 자기소개서 : A4용지 2매 이내, 경력사항 위주로 작성
- 경력 및 각종 증명서류는 면접전형시 제출해 주십시오 (신입사원 응시인 경우 졸업(예정)증명서 및 성적증명서 제출)
지원방법
참고자료
recruit _10_.zip"
비티씨코리아닷컴(주),IT 빗썸거래소 (Front-End 개발자),"주요업무
- 빗썸거래소 Front-End 개발
자격요건
- 유관경력 2년 이상
- React 라이브러리 능숙한 전문가 특별우대
- CSS에 대한 높은 이해도
- javascript(vanila JS) 능숙자
우대사항
- HTTP, REST API에 대한 기본 지식
- x-javascript Framework (jQuery, Angular, React, Vue) 개발 경험
- 웹퍼브리싱 및 CSS Pre-proccesor 사용 경험
- 웹사이트 성능 측정 및 향상에 대한 경험
- Chart Library(highchart, tradingview)개발 경험
채용절차
서류심사 > 실무면접 > 임원면접 > 합격 > 건강검진 > 입사
참고자료
빗썸코리아_개인정보 수집 및 이용 동의서.docx"
네티브(주),네티브(주)에서 초급기획자를 모십니다. (사원/ 주임/ 대리),"기업소개
저희 네티브(주)는 설립된지 19년째 접어드는 직원 100여명 규모의 웹에이전시로, 본사는 서울 마포구 월드컵북로 63(성산동)에 위치하고 있으며 주로 서울 등지에서 금융/ 보험 등 대규모 프로젝트를 구축 및 운영하고 있습니다.

- 근무 지역: 본사 비상주 근무 및 프로젝트 파견 가능 (을지로~광화문, 여의도, 강남~선릉 지역이 많음, 보통 4~8개월 단위)

- 근무 시간: 주 5일 (월~금), 본사 근무 시 09:30~18:30, 프로젝트 파견시 고객사와 협의
주요업무
PC/모바일웹, APP 기획

특정 프로젝트에 바로 투입해서 할당량을 채우는 목적이 아니라, 중장기적으로 회사의 미래 발전을 도모하기 위한 인재 육성 차원에서 초급기획자를 모시고자 합니다.

학원과 같은 정식 커리큘럼은 아니지만, 기획그룹 내부적으로 보험의 이해/ SI 공정별 체크리스트/ UI 가이드라인 등의 직무 관련 교육을 주기적으로 진행하고 있습니다.

프로젝트 경험이 없으신 신입분께 무리하게 업무 실적을 강요하지 않고, 지원 인력으로써 금융 프로젝트 현장을 경험하며 지식/ 경험치/ 노하우를 차근차근 익혀나갈 수 있도록 배려하여, 장차 경쟁력있는 레퍼런스와 스킬 인벤토리를 갖추고 온전히 한 명의 기획자 몫을 함으로써 기획그룹 전체의 역량 강화로 이어질 수 있는 인연을 만들고자 합니다.
자격요건
- 신입일 경우 IT 관련 전공, 교육 수료자

- 경력일 경우 실무 경험
우대사항
IT 관련 인턴십/ 관련 자격증 보유자
채용절차
서류 전형 > 실무자 면접 >임원 면접
복리후생
4대보험 가입, 연차(반차 가능), 경조휴가, 대체휴가, 육아휴직, 남성출산휴가 등"
(주)비티씨코리아서비스,IT 빗썸거래소 (Back-End 개발자),"주요업무
- Back-End 신규 개발 및 유지보수
자격요건
- PHP, Java 개발 경험
- RDBMS(Oracle, Mysql, etc) 사용 경험
- 대용량 트랜젝션 처리 경험
- RESTful API 등 웹통신 개발 경험
- OWASP TOP(WEB)보안 취약점 이해 및 보안코딩 경험
우대사항
- Git, Jira, Confluence 사용 경험
- php Framework (CI, Laravel 등) 개발 경험
- redis, node.js 개발 경험
- 대용량 트래픽 무중단 서비스 경험 및 운영
- 금융, 증권, 암호화폐 관련 개발 경험
- 비즈니스 프로세스에 대한 이해도가 높은 자
- 문제 해결을 적극적으로 시도하고 책임감이 강한 자"
(주)알티넷,솔루션 부문 및 연구소-웹 어플리케이션 개발/UI/UX 디자이너/솔루션 영업 및 영업지원,"주요업무
1. [경력] 웹 어플리케이션 개발 (모집인원 4명)
[담당업무]
* IT 운영 자동화 솔루션 개발, IT 관리시스템 개발
* JAVA 기반 웹 서비스 프로그램 개발
* 시스템 아키텍처 설계 및 구현

2. [경력] UI/UX 디자이너 (모집인원 1명)
[담당업무]
* 웹, 어플리케이션 UI/UX 디자인
* 솔루션 UX 기획/개선 설계
* 솔루션 UI 및 GUI 디자인
* 신규 솔루션 UI/UX 기획

3. [신입/경력] 솔루션 영업 및 영업지원 (모집인원 1명)
* 자사 솔루션 영업 및 영업지원
* 기존 고객사 영업관리 및 사업관리
* 신규 고객사 영업 및 제안
* 신규 솔루션 UI/UX 기획
자격요건
1. [경력] 웹 어플리케이션 개발 (모집인원 4명)
* 대졸이상(2,3년 포함) / 나이.성별 무관
* 관련 분야 신입/경력 5년 이상(과장, 차장급)
* JAVA 또는 타언어 기반 서버/클라이언트 프로그램 개발 경력자
* 웹 기반 어플리케이션 또는 서비스 개발 경력자


2. [경력] UI/UX 디자이너 (모집인원 1명)
* 대졸이상(2,3년 포함) / 나이성별 무관
* 경력 5년 이상 (대리,과장,차장급)
* 해당직무 근무경험자

3. [신입/경력] 솔루션 영업 및 영업지원 (모집인원 1명)
* 대졸이상(2,3년 포함) / 나이성별 무관
* 신입/경력 5년 이상(사원,대리,과장급)
우대사항
1. [경력] 웹 어플리케이션 개발 (모집인원 4명)
* 정보처리 등 관련 분야 자격증 보유자 우대
* 각종 고용촉진장려금 대상자 /컴퓨터활용능력우수/해당직무 근무경험/수학.통계학.컴퓨터.시스템공학 전공자 우대

2. [경력] UI/UX 디자이너 (모집인원 1명)
* 각종 고용촉진장려금 대상자 우대
* 컴퓨터활용능력우서/CAD.CAM 능숙자 우대

3. [신입/경력] 솔루션 영업 및 영업지원 (모집인원 1명)
* 해당직무 경험자 우대
* 각종 고용촉진장려금 대상자 우대
* 컴퓨터활용능력우수 우대
* 중국어 가능자/영어가능자 우대
* PPT능력우수자 우대
채용절차
서류전형 -> 인적성/기술 면접 -> 최종합격
복리후생
각종 경조사 지원 / 명절선물 / 자유복장 / 음료및차제공 / 회사차량 있음 / 연차 /경조휴가제 / 반차"
(주)스마일게이트홀딩스,[전략] 기술지원 담당,"기업소개
스마일게이트는 전세계 동시 접속자 수 800만 명 이상을 자랑하는 크로스파이어를 개발한 글로벌 게임회사입니다. 중국과 베트남, 북남미, 유럽 등 전세계 80개 국에서 크로스파이어를 서비스하고 있습니다.

스마일게이트는 크로스파이어를 통해 배운 축적된 게임 개발 역량과 서비스 노하우를 기반으로 FPS, MMORPG, 대전액션을 아우르는 다양한 장르의 온라인게임을 개발하고 있습니다.

스마일게이트는 식지 않는 열정과 끈기, 노력을 통해 쉬지 않고 도전하고 있습니다. 더 많은 유저와 즐거움을 나누기 위한 게임 및 문화 콘텐츠를 제공하기 위해 비즈니스 파트너와 함께 성장해 나가겠습니다.
주요업무
- 신사업 기술지원을 위한 IT전략 수립 및 이행 지원
- 컨퍼런스 , 채용 캠프, 신사업 협력 기획, 협력 업체 발굴 등 기술사업추진
- 내부 수행 프로젝트 관리
- 그룹 내 커뮤니케이션 업무 (기술전략 Staff 및 Hub역할 수행)
자격요건
자격요건
- 4년 이상의 유관 경력이 있는 분
- 기술 사업 추진 및 프로젝트 관리(PMO) 경험이 있으신 분
- 해외 여행의 결격 사유 없으신 분

필요역량
- 기술 전략 수립 및 기획 역량
- 신기술과 IT 서비스 트렌드, 엔터테인먼트 컨텐츠에 대한 관심
- 기술 사업 추진 및 프로젝트 관리(PMO) 역량
- 분석/커뮤니케이션 능력
- 문서 작성 능력
우대사항
- 서비스 개발 프로젝트 경험자
- 비니지스 레벨의 영어 회화
채용절차
- 서류접수 > 서류심사 > 실무면접 > 임원면접 > 입사협의
복리후생
스마일게이트는 구성원을 위한 다양한 복지 서비스 및 근로환경을 제공하고 있습니다. :)

- 유연근무제도
- 선택적 복리후생비 지급
- 출근 셔틀버스 운영
- 의료실비 보험 / 종합건강검진 지원
- 생활자금대출 / 경조사 지원
- 사내 동호회 활동 지원
- 개발자 컨퍼런스 / 사내 교육 및 특강
- 게임공간 라운지
- 사내 도서관
- 운동 공간 (헬스, 골프, 탁구)
- 샤워시설, 휴게라운지, 힐링룸
- 장기근속 포상 / 휴양시설 지원
- 카페테리아 / 사내 식당
- 사내 어린이집
- 부서 워크숍 지원
- 명절 선물 지급
기타
필요제출서류
- 홈페이지 입사지원서 제출
- 경력기술서 제출
참고자료
https://careers.smilegate.com/ko/recruit/recruitView.asp?idx=3470"
신한금융투자(주),ICT - 클라우드 _ 기획관리,"주요업무
- 기획관리
자격요건
- 퍼블릭 클라우드(AWS, Azure, GCP 등) 서비스 설계와 프로젝트 관리 경험
- 클라우드 거버넌스 체계 수립 및 수요/비용 관리 경험
- IT개발 업무/운영, 기반 기술 및 트렌드에 대한 전반적인 지식과 경험

[공통]
▶ 국내/외 4년제 대학교 이상 졸업자(석/박사 우대)
▶ 관련 분야 경력 3년 이상 지원 가능
▶ 당사 사규상 채용에 결격 사유가 없는 자
우대사항
- 경력 4년 이상

[공통]
▶『장애인고용촉진 및 직업재활법』에 의한 장애인
▶『국가유공자 등 예우 및 지원에 관한 법률』에 의한 취업보호대상자
채용절차
1) 입사지원서 접수
- 일정 : 2021.03.05(금) ~ 2021.03.24(수) 13:00까지
- 당사 채용 홈페이지에서 접수

2) AI면접
- 일정 : 4월 中 실시
- 서류전형 합격자에 한하여 별도 안내 예정

3) 실무진 면접
- 일정 : 4월 中 실시
- 장소 : 여의도 본사
- 실무진 면접 대상자는 포트폴리오 제출 예정(필수)
- AI면접 합격자에 한하여 별도 안내 예정

4) 임원 면접
- 일정 : 4월 ~ 5월 中 실시
- 장소 : 여의도 본사
- 실무진 면접 합격자에 한하여 별도 안내 예정

5) 채용검진 및 입사
- 최종 입사 : 4월 ~ 5월 中 입사 예정
- 임원 면접 합격자에 한하여 입사일 개별 협의 예정
기타
▶ 청탁 등 부정행위로 인해 합격된 사실이 확인될 경우, 합격 및 채용이 취소됨은 물론 향후 5년간 응시가 제한됩니다.
▶ 최종 합격 발표 후 실시되는 채용검진 결과가 업무수행에 지장을 줄 위험이 있는 병증을 보유한 것으로 판단될 경우 합격 및 채용이 취소(허위기재 포함)됩니다.
▶ 지원서 작성 내용에 대해서 증빙 서류 제출 요구 및 사실 여부를 확인할 수 있고, 위조 또는 허위 기재 사실이 확인될 경우 합격 및 채용이 취소됩니다.
▶ 입사 관련 증빙서류는 최종 합격 이후에 제출 및 검증하며, 지원서 기재사항이 사실과 다를 경우(오기재 등) 합격 및 채용 취소 등의 불이익을 받을 수 있습니다.
▶ 각 전형별 합격자는 개별 통보 또는 채용 홈페이지에서 직접 확인 가능하며, 당사의 사정에 따라 전형절차 및 일정 등은 변경될 수 있습니다."
(주)비티씨코리아서비스,IT 빗썸거래소 (Front-End 개발자),"주요업무
- 빗썸거래소 Front-End 개발
자격요건
- 유관경력 2년 이상
- React 라이브러리 능숙한 전문가 특별우대
- CSS에 대한 높은 이해도
- javascript(vanila JS) 능숙자
우대사항
- HTTP, REST API에 대한 기본 지식
- x-javascript Framework (jQuery, Angular, React, Vue) 개발 경험
- 웹퍼브리싱 및 CSS Pre-proccesor 사용 경험
- 웹사이트 성능 측정 및 향상에 대한 경험
- Chart Library(highchart, tradingview)개발 경험"
Teleperformance Malaysia SDN. BHD.,Game Advisor 채용,"기업소개
ONE PRECINCT 1B-G-10 LENGKOK MAYANG PASIR, 11950 BAYAN BARU, PENANG MALAYSIA.
https://www.teleperformance.com/en-us

Teleperformance는 전 세계 80여개 국가의 글로벌 기업들에게 최상의 고객 경험 서비스를 제공하는 세계 1위 BPO Company (Business Process Outsourcing)입니다.
주요업무
Phone, Email, Chat & Social

Questions about billing and subscriptions
Micro transactions support
First line of response to chargeback and fraud claims
Password resets
Account verification, personal information changes, account security, and owner verification
Questions about technical issues preventing access to the game
Server access support
Installation support
Patch support
Troubleshooting crash, lock ups, and internet connectivity issues
Questions concerning in-game issues
Assists players within the game world with in-game issues
Moderation and conflict resolution
TOS ? Term of service enforcement
Player character malfunctions within the game world
Warranty support
자격요건
Our Games Advisors are fans of video games and the gaming industry. They’re also passionate about helping people and giving great customer service. They are the first point of contact when players ask EA for help. They listen to the question or issue, put themselves in the player’s shoes to understand their situation, then they give gameplay advice or fix the problem. Games Advisors are our ultimate champion for EA players.
Game Advisors are:

passionate about player-first customer service in a bustling and fun work environment
care for each player request from beginning to end
build trust with players by giving them such great service, they’ll tell their friends about it. We measure this through customer satisfaction surveys after each contact
troubleshoot technical issues, like helping a player link their gamer IDs to their EA Account, figuring out why they can’t connect, or deciphering an error code to help them get back in the game
keep up with game issues and events so you can give players an accurate solution the first time they contact us
stay cool when things are busy, and keep things moving, so you can help as many players as possible. You might help players via chat, email, social media, or phone
advocate for players by reporting the most common issues and questions so we can fix or improve them
keep player account information and EA internal information secure and confidential
work a set shift that may change based on what the organization, and our players, need most
a minimum of two years’ experience helping customers in a high-volume, call center environment (a games industry call center is a plus!)
verbal and written fluency in Language supported (C2 - HSK (level VI) - N1 - TOPIK 6th Grade) and B2 Level for English (EU & APAC) - See EA Language Proficiency Matrix attachment for further detail.
a basic understanding of EA games across multiple genres like FIFA, The Sims, Battlefield, Need for Speed, or Mass Effect
to be comfortable working in a fast-paced environment and able to adapt to changes in processes and tools as they happen
to have a good attendance record and a plan to be on-time to work, every day
to be comfortable and confident using a computer and typing for most of the day
우대사항
동종업계 경험이 있는 분, 관련 직무 이해도가 높은 분 우대사항 있습니다.
채용절차
1차 서류전형
2차 면접전형
3차 서류전형
복리후생
재택근무, 높은급여, 동종업계의 우대사항 등
기타
제출서류 :
한글이력서, 영문이력서
참고자료
https://www.teleperformance.com/en-us
Penang-214.jpg"
에스케이건설(주),정보보안 기획,"주요업무
정보보안 활동 기획 및 운영
- 보안 Solution 구축 및 운영정책 수립
- 신규 도입 / 개발 시스템 보안성(Cloud, IoT 등) 검토
- IT 보안 취약점 관리
- 정보보안 정책 / 전략 수립, 실행
- 정보보안 관련 법률 Compliance 점검, 개선
자격요건
- 기업 정보보안 관련 업무 4년 이상
우대사항
- ISMS/ISMS-P, ISO27001/27701 인증 준비/대응/획득 경험자 우대
- 기업 Cloud 보안 Architecture 설계 유경험자 우대
- CISM, CISA, CISSP 등 정보보안 관련 자격증 보유자 우대
채용절차
서류전형 ▶ SKCT(심층역량검사) 및 AI역량검사 ▶ 면접전형 ▶ 처우협의 및 채용검진
기타
※ 지원서 작성 도중 수시로 임시저장이 가능하며, 제출 완료 이후에도 접수마감일 전까지는 수정이 가능합니다.
※ 지원서 또는 제출서류 상 허위 기재가 있거나 자기소개서 표절이 확인된 경우, 전형단계에서의 불이익 및 입사가 취소될 수 있습니다.
※ 취업보호대상자 및 장애인은 관계법령에 의거하여 우대합니다.
※ 전형 및 처우협의 결과에 따라 최종합격자에 대해 시용기간(최대 3개월)을 제안할 수 있습니다.
※ 자기소개서 작성 시 출신지역, 가족 정보 등의 내용이 포함되지 않도록 유의해 주시기 바랍니다."
잡플래닛 매칭서비스,#1 디지털자산거래소 - 리크루터,"기업소개
2012년 설립하고 가장 신뢰받는 글로벌 표준 디지털 자산 거래소 ‘업비트‘와 소셜 트레이딩 기반 주식 플랫폼 ‘증권플러스‘,
비상장 주식 통합거래 플랫폼 ‘증권플러스 비상장‘을 운영하는 블록체인 및 핀테크 전문 기업입니다.

세상의 패러다임을 바꿀 블록체인 산업에 1,000억 규모 투자를 진행하고,
2018년부터 세계 최초 ‘개발자 중심’ 블록체인 컨퍼런스인 ‘업비트 개발자 컨퍼런스(UDC)‘를 개최하며 생태계 발전에 앞장서고 있습니다.

최근, 한화투자증권이 주식 6.15%을 약 583억원에 취득한다고 21년 2월 3일 공시함.
과거, 카카오, 퀄컴벤처스, 우리기술투자, 케이큐브벤처스(현,카카오벤처스)에서 투자유치함.

2017년 10월 ‘업비트’ 출범하여 현재 총 회원수 300만원 및 일 최대 거래액 10조원의 디지털 자산거래소로 성장함.
증권플러스는 2014년 2월 ‘증권플러스 for Kakao’ 런칭하고, 카카오증권, 카카오스탁으로 명칭 변경 후 2019년 6월 증권플러스로 리브랜딩함.
주식정보부터 주문까지 쉽고 빠른 증권서비스를 제공함.
주요업무
- 다양한 채널 활용을 통한 인재 발굴 및 다이렉트 소싱
- 포지션별 채용 전략 구상 및 수립, 실행
- 현업팀과의 적극적인 협업을 통한 잠재 후보자 역량 사전 평가
- 업무 적합성 판단을 위한 다양한 활동
자격요건
- 총 5년 이상의 리크루팅 유경험자(IT 기업에서 인하우스 리쿠르팅 경력 최소 2년 이상)
- IT 업계에서의 다이렉트 소싱 경험 및 개발직군에 대한 이해를 갖고 있는 분
- 잠재 후보자를 오랜 기간에 걸쳐 설득하여 채용까지 연결할 수 있는 분
- 채용 전반에서 발생하는 다양한 경험들을 바탕으로 이슈 해결능력을 보유한 분
- IT업계에 대한 이해도가 높고 관련 네트워크를 보유한 분
우대사항
- 성장하는 스타트업 및 IT기업 근무 경험이 있는 분
- 스타트업/IT업계에서 폭 넓은 네트워크를 보유하신 분
- 채용전문가로 성장하고자 하는 커리어 목표가 있으신 분
- 채용 트렌드에 민감하고 적극적으로 학습하시는 분
- 긍정적인 경험을 줄 수 있는 커뮤니케이션 능력을 보유하신 분
채용절차
서류전형 > 실무자면접 > 임원면접 > 최종합격
제출서류: 국문
복리후생
- 강남역 1번출구에서 2분거리에 있는 근무지(미림 타워)
- 4대보험, 주5일 근무 - 통신비지원(5만원)
- 점심식대 지원 및 신청하는 모든 과자와 음료 구비 (스낵바 운영 중)
- 3년 근속시 10일 안식휴가
- 임직원대출지원(1년이상 재직시 신청가능)
- 명절 선물 지급 (설/추석)
- 건강검진 (매년 본인 포함 가족 4명까지, 1인당 100만원 상당의 건강검진 프로그램)
- 실손 의료비, 치과치료 혜택 (본인, 배우자, 본인/배우자의 직계 존비속 대상으로 실손의료비에 치과치료까지 지원)
- 생명보험
- 휴양시설 지원
- 팀별 회식비/간식비 지원
- 경조사 발생시 경조사비 및 경조휴가, 화환/상조용품 지원
- 야근시 택시비 지원
- Safari Books Online 구독 및 도서 구입 지원, 유료 온라인 교육 지원
- 최고사양 맥북과 4k 모니터 지원"
(주)비티씨코리아서비스,IT 빗썸거래소 (Front-End 개발자),"주요업무
- 빗썸거래소 Front-End 개발
자격요건
- 유관경력 2년 이상
- React 라이브러리 능숙한 전문가 특별우대
- CSS에 대한 높은 이해도
- javascript(vanila JS) 능숙자
우대사항
- HTTP, REST API에 대한 기본 지식
- x-javascript Framework (jQuery, Angular, React, Vue) 개발 경험
- 웹퍼브리싱 및 CSS Pre-proccesor 사용 경험
- 웹사이트 성능 측정 및 향상에 대한 경험
- Chart Library(highchart, tradingview)개발 경험"
(주)와탭랩스,Pre-sales 엔지니어,"주요업무
- 솔루션 설치 및 지원
- WAS 장애 분석
- IT 운영(Infra, Application, Database) 컨설팅
자격요건
- Infra 운영 경험자
- WAS 운영 경험자
- 엔터프라이즈 소프트웨어 기술 지원 경험자
우대사항
- APM 서비스 사용 경험
- Infra 모니터링 사용 경험
- 쿠버네티스 사용 경험
채용절차
- 서류 검토 : 보내주신 이력서와 참고 자료를 검토합니다.
- 대표 면접 : 회사와 개인의 목표가 일치하는지 논의합니다.
- 동료 면접 : 함께 일할 동료들과 함께 직무 적합성을 검토합니다..
- 최종 합격 : 3개월의 수습과정을 거쳐 최종 합격이 결정됩니다

* 자유 양식의 이력서 PDF 파일로 제출
* 이력서를 recruit@whatap.io로 보내주세요.
기타
- 병역특례도 지원 가능합니다"
(주)카카오페이,[카카오페이] 정보시스템팀 개발자 영입,"기업소개
2014년 9월, 국내 최초 간편 '결제' 서비스를 시작으로
'송금' '청구서' '멤버십' '인증' '페이카드' 까지 -
카카오페이는 생활 곳곳의 다양한 금융 서비스를 통해 '지갑 없는 세상' 을 만들어가고 있습니다.
 
기술의 발전으로 사람들은 휴대폰으로 결제를 하고, 돈을 주고받거나 생활비를 납부합니다. 
일상 속 많은 부분이 편리해졌지만 어렵고 번거로운 것들은 여전히 존재합니다. 
카카오페이는 기존의 관습을 깨고 윤택한 삶을 위한 생활 금융 서비스를 제공하기 위해
복잡한 절차를 간결하게 바꾸고, 수고로움을 줄이고, 이로움을 키우고자 노력합니다.
 
짧은 시간 이룬 성과보다 더 엄청나고 놀라운 세상을 카카오페이와 함께 열어갈, 
바로 당신을 기다립니다!
주요업무
IT 통제 시스템(IT 업무의 요청/승인/실행 프로세스 관리) 개발 및 운영
- 인사/총무 등 사내 정보시스템 개발 및 운영
- 업무 편의를 위한 다양한 시스템 개발 및 운영
자격요건
- 개발 경력 5년 이상, 전산 관련학과 학사 이상 또는 동일한 자격을 보유하신 분
- Java 또는 Kotlin 언어로 작성한 Spring Boot 기반 웹 애플리케이션 개발 경력이 3년 이상이신 분
- React, Vue.js를 이용한 SPA 개발 경험이 있으신 분
- OOP 또는 Functional Programming 기반의 소프트웨어 디자인/개발 능력이 있으신 분
- MySQL, PostgreSQL 등의 관계형 DB 설계 및 활용 능력이 있으신 분
- 원활한 커뮤니케이션 능력과 업무 추진력이 있으신 분
- 긍정적이고 유연한 성격을 지니신 분
우대사항
- 업무 자동화, 생산성 향상, 프로세스 개선 등에 관심이 많고 관련 경험이 있으신 분
- 기존의 시스템과 연계된 신규 시스템 개발 경험과 충분한 역량을 보유하신 분
- Linux 환경의 서비스 개발/운영 경험이 있으신 분
- Docker/Kubernetes 환경의 마이크로서비스 개발 경험이 있으신 분
- 인사/총무 등 사내 정보시스템 개발 경험이 있으신 분
채용절차
서류전형 > 사전과제 전형 > 1차 인터뷰 > 2차 인터뷰 > 최종 합격
참고자료
https://kakaopay.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=43299"
네이버클라우드(주),NAVER WORKS 컨설팅&프리세일즈,"주요업무
- 고객에게 클라우드 상품 및 클라우드를 활용한 사업을 제안하고, 클라우드 사용 프로젝트를 진행합니다.
- 클라우드 사업을 위한 사전 영업/기술 영업/컨설팅 업무를 진행합니다.
- 제품에 대한 기술적 이해를 통해 고객의 니즈를 기술환경 분석 및 파악
- 고객의 니즈에 따라 제품의 기술적 데모, PoC 및 질문에 대응
- 영업과 함께 협업을 통해 딜이 성공적으로계약 될 수 있도록 지원
- 업데이트 되는 제품의 기능과 새로운 서비스에 대한 기술적 Follow up
- 기술 세미나 리드
- 클라우드 기술 영업 (Technical Pre-sales)
- 클라우드 컨설팅 엔지니어 (Consulting Engineer)
- 클라우드 비즈니스 개발 (Business Development)
자격요건
- 고객과 소통하는 능력
- IT기술과 클라우드 기반 기술에 대한 폭넓은 이해와 전문성 필요
- 고객의 클라우드 비즈니스 요구 사항을 해결하고 클라우드 솔루션 아키텍처를 구축할 수 있는 역량
- 클라우드 시스템을 사용하고 기술 문제를 해결할 수 있는 역량
- 기술 컨텐츠 작성에 능숙하며 다수의 사람들에게 내용을 전달할 수 있는 역량
- 클라우드 사업의 중요성을 인지하고 기술 전략을 수립할 수 있는 역량
- 새로운 IT기술에 대한 뛰어난 학습능력
- 관련 경력 7년 이상
- IT 엔지니어, 클라우드 엔지니어, IT 개발, 클라우드 개발 경험자
- 클라우드 기술 영업 경험자"
(주)카카오뱅크,[뉴플랫폼기술] 펀드 서버 개발자,"주요업무
[뉴플랫폼개발]
· 펀드 판매관리 시스템 개발 및 운영
자격요건
· IT 개발 경력 3년 이상
· Java 기반 서버 개발 역량 (Spring Framework)
· 클라우드 기반 상용서비스 개발 및 운영 경험
우대사항
· CI/CD 파이프라인 경험을 보유한 분
· 모던 아키텍처에 대한 높은 이해도를 갖춘 분
· 펀드 업무 개발 경험이 있는 분

[공통 우대 사항]
· 국가유공자 및 장애인 등 취업보호대상자는 관계법령에 따라 우대합니다.
(입사지원 시 증빙서류를 첨부하는 경우에 해당하며, 증빙서류는 포트폴리오 란에 첨부해주시길 바랍니다.)
채용절차
서류전형 → 코딩테스트전형 → 1차 실무진 면접전형 → 2차 경영진 면접전형 → 연봉 및 처우협의 → 최종합격

※ 각 전형 결과 및 면접 일정은 홈페이지 및 메일을 통해 개별적으로 안내드리고 있습니다.

· 서류전형 결과 발표일 : 2021년 4월 16일 금요일 이전

※ 입사지원서 제출일의 익월 중순까지 서류전형 결과를 안내드리고 있습니다.
※ 공고에 게시된 서류전형 결과 발표일보다 전형결과 안내가 늦어질 경우 개별적으로 연락드릴 예정입니다.

· 모집기간 : 영입 완료시 마감

※ 영입 완료 시 조기에 마감될 수 있는 수시채용으로 진행 중입니다.
※ 영입이 완료될 경우 해당월 말일로 설정된 공고마감일이 도래하지 않더라도 일찍 마감될 수 있습니다.
복리후생
· 성장: 연 500만원의 복지포인트를 통해 스스로 성장과 밸런스있는 삶을 고민할 수 있습니다. 취미활동, 운동, 나에게 주는 선물 등 자유롭게 자기주도 마일리지를 사용해 보세요.
· 이너피스: 만 3년 근속하신 분에게 한달간의 달콤한 안식휴가를 드립니다. 유급휴가이며 좋은 휴식이 될 수 있도록 안식휴가비 200만원을 별도로 드립니다.
· 균형있는 삶: 자유롭게 출퇴근시간을 조정할 수 있는 WorkOn 유연근무제를 운영하고 있습니다. 그 외에도 일과 생활의 균형을 위한 다양한 시도를 하고 있습니다.

· 건강: 본인, 배우자, 자녀, 부모, 배우자부모 대상 단체상해보험 가입을 진행하여 의료비와 진단금을 지원하고 있습니다. 본인은 물론 소중한 가족 한명에게도 건강검진을 지원합니다.
· 가족: 경조사 및 장례서비스 지원, 자녀 교육비 지원, 대출이자 지원제도, 새로운 가족을 위한 휴가/휴직 등 다양한 제도를 통해 가족의 행복을 함께 고민합니다.

그 밖에도 균형있는 삶(Balanced Life)를 위해 다양한 제도와 환경을 만들어 가고 있습니다.
기타
· 근무지 : 카카오뱅크 판교오피스 (경기도 성남시 분당구 판교역로 231)

- 입사지원서에 기재된 내용은 증빙자료 제출을 통해 확인하고 있습니다.
기재된 내용이 사실과 다를 경우 입사가 취소될 수 있음을 유의하여 주시길 바랍니다.
- 부정한 채용청탁을 한 사실이 밝혀질 경우 입사가 취소될 수 있음을 유의하여 주시길 바랍니다.
- 카카오뱅크 내규에 따라 채용금지자에 해당하는 분은 입사가 어려움을 유의하여 주시길 바랍니다."
네이버클라우드(주),클라우드 AI 컨설팅/아키텍트,"주요업무
- 비즈니스 요구사항을 AI 기술 스택 및 솔루션으로 개념적,논리적 및 물리적 아키텍쳐 설계
- 필요한 경우 핸즈온 개발 능력을 발휘하여 POC 진행
- AI 환경에서 기술적 강점, 약점, 기회 및 위협을 사전에 식별하고 해결
- 그외 AI 솔루션에 대한 사업기획/컨설팅 전반
자격요건
- IT 분야에서 최소 5 년의 실무 경험, IT 아키텍쳐 설계에서 최소 3 년의 경험
- AI 기술에 대한 이해가 있으신 분
- 기계 학습, 기술, 알고리즘, 자연어 처리에 대한 실무 지식
- 2 년 이상의 개발 실무 경험 (파이썬, 자바 등)
우대사항
- B2B 경험
- 컨설팅 및 솔루션 아키텍트 경험
- 챗봇 및 AI 알고리즘 구현 경험
채용절차
- 서류 접수 ▶ 1차 면접 ▶ 인성검사 ▶ 레퍼런스 체크 ▶ 최종 면접 ▶ 입사 (전형절차는 일정 및 상황에 따라 변동될 수 있습니다.)

- 전형절차는 일정 및 상황에 따라 변동 될 수 있습니다.
- 직무에 따라 1차 면접 시 테스트가 함께 진행될 수 있습니다.
- 입사 후 3개월의 수습기간을 적용하며 평가 기간에 따라 수습기간이 연장되거나 채용이 취소될 수 있습니다.
기타
- 지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.
- 국가유공자 및 장애인 등 취업보호대상자는 관계법령에 따라 우대합니다."
